MAL_ID,Name,Score,Genres,English_name,Type,Episodes,Aired,Premiered,Studios,Source,Ranked,Popularity,Themes,Synopsis
6948,Bakemonogatari Recap,7.31,"Mystery, Romance, Supernatural",Unknown,Special,1,"Aug 7, 2009",Unknown,Shaft,Light novel,2299,2359,,
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,"Demons, Drama, Shoujo, Slice of Life, Supernatural",Natsume Yujin-cho the Movie:Ephemeral Bond,Movie,1,"Sep 29, 2018",Unknown,Shuka,Manga,149,2360,,
886,Amaenaide yo!! Katsu!!,6.71,"Comedy, Ecchi, Harem, Romance, Supernatural",Ah My Buddha Katsu,TV,12,"Jan 4, 2006 to Mar 22, 2006",Winter 2006,Studio Deen,Manga,4843,2361,,
37458,Kyoto Teramachi Sanjou no Holmes,6.75,"Drama, Mystery, Romance, Slice of Life",Holmes of Kyoto,TV,12,"Jul 10, 2018 to Sep 25, 2018",Summer 2018,Seven,Novel,4693,2362,,
5074,Tetsuwan Birdy Decode:02,7.74,"Action, Sci-Fi, Comedy",Birdy the Mighty:Decode 02,TV,12,"Jan 10, 2009 to Mar 28, 2009",Winter 2009,A-1 Pictures,Manga,943,2363,,
1953,Code Geass: Hangyaku no Lelouch Picture Drama,6.97,"Comedy, School, Slice of Life",Code Geass:Lelouch of the Rebellion Picture Dramas,Special,9,"Jan 27, 2007 to Sep 25, 2007",Unknown,Sunrise,Original,3741,2364,,
551,Grappler Baki: Saidai Tournament-hen,7.45,"Action, Martial Arts, Shounen, Sports",Unknown,TV,24,"Jul 24, 2001 to Dec 25, 2001",Summer 2001,Group TAC,Manga,1738,2365,,
31645,Persona 5 the Animation: The Day Breakers,7.13,"Action, Supernatural, Fantasy",Persona 5 the Animation -THE DAY BREAKERS-,Special,1,"Sep 3, 2016",Unknown,A-1 Pictures,Game,3063,2366,,
32171,Ange Vierge,6.03,"Adventure, Magic, Fantasy, School",Unknown,TV,12,"Jul 10, 2016 to Sep 25, 2016",Summer 2016,SILVER LINK.,Card game,8086,2367,,
35757,Gin no Guardian II,6.61,"Adventure, Fantasy",The Silver Guardian 2,TV,6,"Jan 13, 2018 to Feb 17, 2018",Winter 2018,"Emon, Blade",Web manga,5339,2368,,
3603,JoJo no Kimyou na Bouken: Phantom Blood,7.71,"Action, Adventure, Horror, Shounen, Vampire",JoJo's Bizarre Adventure: Phantom Blood,Movie,1,"Feb 17, 2007",Unknown,APPP,Manga,1000,2369,,
22429,Itadaki! Seieki♥,7.46,"Hentai, Supernatural",Unknown,OVA,1,"Mar 28, 2014",Unknown,Unknown,Manga,Unknown,2370,,
32561,Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter,6.61,Comedy,Grimgar:Ashes and Illusions Special,Special,1,"Mar 16, 2016",Unknown,A-1 Pictures,Light novel,5327,2371,,
18465,Genshiken Nidaime,7.46,"Slice of Life, Comedy, Parody",Genshiken Second Season,TV,13,"Jul 7, 2013 to Sep 29, 2013",Summer 2013,Production I.G,Manga,1709,2372,,
30902,Yuru Yuri Nachuyachumi!+,7.79,"Slice of Life, Comedy, Shoujo Ai",Unknown,Special,2,"Aug 21, 2015 to Sep 18, 2015",Unknown,TYO Animations,Manga,836,2373,,
30745,Kyoukai no Kanata Movie: I,7.89,Music,Beyond the Boundary:I,Special,1,"Mar 14, 2015",Unknown,Kyoto Animation,Light novel,688,2374,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,Movie,1,"Dec 20, 1997",Unknown,Gallop,Manga,1397,2375,,
40485,Strike the Blood IV,7.05,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy",Unknown,OVA,12,"Apr 8, 2020 to Jun 30, 2021",Unknown,Connect,Light novel,3438,2376,,
14645,Hiiro no Kakera Dai Ni Shou,7.23,"Fantasy, Romance, Shoujo, Supernatural",Hiiro no Kakera:The Tamayori Princess Saga Season 2,TV,13,"Sep 30, 2012 to Dec 23, 2012",Fall 2012,Studio Deen,Visual novel,2651,2377,,
29163,Sore ga Seiyuu!,7.05,"Slice of Life, Comedy",Seiyu,TV,13,"Jul 7, 2015 to Sep 29, 2015",Summer 2015,Gonzo,Web manga,3441,2378,,
